name,type,source,producers,genre,studio,episodes,airing,duration,rating,score,scored_by,rank,popularity,members,favorites
Cowboy Bebop,TV,Original,['Bandai Visual'],"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']",['Sunrise'],26.0,False,24 min per ep,R - 17+ (violence & profanity),8.81,405664.0,26.0,39.0,795733.0,43460.0
Cowboy Bebop: Tengoku no Tobira,Movie,Original,"['Sunrise', 'Bandai Visual']","['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Space']",['Bones'],1.0,False,1 hr 55 min,R - 17+ (violence & profanity),8.41,120243.0,164.0,449.0,197791.0,776.0
Trigun,TV,Manga,['Victor Entertainment'],"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Drama', 'Shounen']",['Madhouse'],26.0,False,24 min per ep,PG-13 - Teens 13 or older,8.3,212537.0,255.0,146.0,408548.0,10432.0
Witch Hunter Robin,TV,Original,['Bandai Visual'],"['Action', 'Magic', 'Police', 'Supernatural', 'Drama', 'Mystery']",['Sunrise'],26.0,False,25 min per ep,PG-13 - Teens 13 or older,7.33,32837.0,2371.0,1171.0,79397.0,537.0
Bouken Ou Beet,TV,Manga,"['TV Tokyo', 'Dentsu']","['Adventure', 'Fantasy', 'Shounen', 'Supernatural']",['Toei Animation'],52.0,False,23 min per ep,PG - Children,7.03,4894.0,3544.0,3704.0,11708.0,14.0
Hachimitsu to Clover,TV,Manga,"['Genco', 'Fuji TV', 'Shueisha']","['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']",['J.C.Staff'],24.0,False,23 min per ep,PG-13 - Teens 13 or older,8.12,57065.0,419.0,536.0,172274.0,3752.0
Hungry Heart: Wild Striker,TV,Manga,[],"['Slice of Life', 'Comedy', 'Sports', 'Shounen']",['Nippon Animation'],52.0,False,23 min per ep,PG-13 - Teens 13 or older,7.67,9307.0,1186.0,3124.0,17145.0,210.0
Initial D Fourth Stage,TV,Manga,"['OB Planning', 'Studio Jack']","['Action', 'Cars', 'Sports', 'Drama', 'Seinen']",['A.C.G.T.'],24.0,False,27 min per ep,PG-13 - Teens 13 or older,8.23,42555.0,298.0,1262.0,73438.0,635.0
Monster,TV,Manga,"['VAP', 'Shogakukan Productions', 'Nippon Television Network']","['Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller']",['Madhouse'],74.0,False,24 min per ep,R+ - Mild Nudity,8.69,131233.0,49.0,156.0,394387.0,19188.0
Naruto,TV,Manga,"['TV Tokyo', 'Aniplex', 'Shueisha']","['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']",['Studio Pierrot'],220.0,False,23 min per ep,PG-13 - Teens 13 or older,7.9,716412.0,705.0,10.0,1091313.0,39356.0
One Piece,TV,Manga,"['Fuji TV', 'TAP', 'Shueisha']","['Action', 'Adventure', 'Comedy', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",['Toei Animation'],,True,24 min,PG-13 - Teens 13 or older,8.53,465454.0,94.0,36.0,803871.0,76869.0
Tennis no Ouji-sama,TV,Manga,"['Production I.G', 'Nihon Ad Systems']","['Action', 'Comedy', 'Sports', 'School', 'Shounen']",['Trans Arts'],178.0,False,22 min per ep,PG-13 - Teens 13 or older,8.0,50306.0,577.0,856.0,113662.0,2885.0
Ring ni Kakero 1,TV,Manga,[],"['Action', 'Shounen', 'Sports']",['Toei Animation'],12.0,False,25 min per ep,PG - Children,6.54,825.0,5641.0,6501.0,2930.0,18.0
Sunabouzu,TV,Manga,"['GDH', 'Pony Canyon', 'CBC']","['Action', 'Adventure', 'Comedy', 'Ecchi', 'Sci-Fi', 'Shounen']",['Gonzo'],24.0,False,24 min per ep,R - 17+ (violence & profanity),7.5,36185.0,1679.0,1049.0,89817.0,673.0
Texhnolyze,TV,Original,"['Group TAC', 'Rondo Robe', 'Fuji TV', 'Pioneer LDC']","['Action', 'Sci-Fi', 'Psychological', 'Drama']",['Madhouse'],22.0,False,23 min per ep,R+ - Mild Nudity,7.78,32198.0,942.0,690.0,138500.0,2864.0
Trinity Blood,TV,Light novel,[],"['Action', 'Supernatural', 'Vampire']",['Gonzo'],24.0,False,24 min per ep,R - 17+ (violence & profanity),7.4,61471.0,2081.0,695.0,137800.0,1403.0
Yakitate!! Japan,TV,Manga,"['TV Tokyo', 'Aniplex', 'd-rights', 'Tohokushinsha Film Corporation', 'Atelier Musa']","['Comedy', 'Shounen']",['Sunrise'],69.0,False,24 min per ep,PG-13 - Teens 13 or older,8.01,27616.0,566.0,1388.0,65862.0,785.0
Zipang,TV,Manga,"['Marvelous', 'TBS']","['Action', 'Military', 'Sci-Fi', 'Historical', 'Drama', 'Seinen']",['Studio Deen'],26.0,False,24 min per ep,PG-13 - Teens 13 or older,7.54,4534.0,1564.0,3575.0,12951.0,125.0
Neon Genesis Evangelion,TV,Original,"['TV Tokyo', 'Kadokawa Shoten', 'Nihon Ad Systems', 'Audio Tanaka']","['Action', 'Dementia', 'Drama', 'Mecha', 'Psychological', 'Sci-Fi']","['Gainax', 'Tatsunoko Production']",26.0,False,24 min per ep,PG-13 - Teens 13 or older,8.33,402215.0,215.0,50.0,715531.0,45828.0
Neon Genesis Evangelion: Death & Rebirth,Movie,Original,"['Movic', 'Sega', 'TV Tokyo Music', 'Audio Tanaka']","['Drama', 'Mecha', 'Psychological', 'Sci-Fi']","['Gainax', 'Production I.G']",1.0,False,1 hr 41 min,R - 17+ (violence & profanity),7.5,74480.0,1672.0,734.0,130163.0,413.0
Neon Genesis Evangelion: The End of Evangelion,Movie,Original,"['TV Tokyo', 'Toei Animation', 'Kadokawa Shoten', 'Movic', 'Sega', 'TV Tokyo Music', 'Audio Tanaka']","['Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']","['Gainax', 'Production I.G']",1.0,False,1 hr 27 min,R+ - Mild Nudity,8.5,215979.0,107.0,212.0,333046.0,9558.0
Kenpuu Denki Berserk,TV,Manga,"['VAP', 'Hakusensha', 'Nippon Television Network']","['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Romance', 'Seinen', 'Supernatural']",['OLM'],25.0,False,25 min per ep,R+ - Mild Nudity,8.47,166504.0,124.0,222.0,325769.0,13782.0
Ghost in the Shell,Movie,Manga,"['Bandai Visual', 'Kodansha']","['Action', 'Sci-Fi', 'Police', 'Psychological', 'Mecha', 'Seinen']",['Production I.G'],1.0,False,1 hr 22 min,R+ - Mild Nudity,8.34,199591.0,209.0,177.0,364643.0,8400.0
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,Manga,['Aniplex'],"['Action', 'Historical', 'Drama', 'Romance', 'Martial Arts', 'Samurai', 'Shounen']",['Studio Deen'],4.0,False,30 min per ep,R - 17+ (violence & profanity),8.78,94681.0,31.0,504.0,180923.0,4986.0
Rurouni Kenshin: Meiji Kenkaku Romantan,TV,Manga,"['Aniplex', 'SME Visual Works', 'Fuji TV']","['Action', 'Adventure', 'Comedy', 'Historical', 'Romance', 'Samurai', 'Shounen']","['Studio Gallop', 'Studio Deen']",94.0,False,25 min per ep,PG-13 - Teens 13 or older,8.39,143693.0,182.0,265.0,296561.0,9044.0
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Movie,Manga,"['Fuji TV', 'Sony Music Entertainment']","['Samurai', 'Historical', 'Drama', 'Shounen']",['Studio Gallop'],1.0,False,1 hr 31 min,R - 17+ (violence & profanity),7.62,21576.0,1325.0,1984.0,38686.0,97.0
Akira,Movie,Manga,"['Mainichi Broadcasting System', 'Kodansha', 'Toho']","['Action', 'Military', 'Sci-Fi', 'Adventure', 'Horror', 'Supernatural', 'Seinen']",['Tokyo Movie Shinsha'],1.0,False,2 hr 4 min,R+ - Mild Nudity,8.17,214961.0,356.0,193.0,351163.0,5845.0
.hack//Sign,TV,Original,"['Bandai Visual', 'Yomiko Advertising', 'Bandai', 'CyberConnect2']","['Game', 'Sci-Fi', 'Adventure', 'Mystery', 'Magic', 'Fantasy']",['Bee Train'],26.0,False,24 min per ep,PG-13 - Teens 13 or older,7.08,63557.0,3341.0,704.0,135481.0,1229.0
Aa! Megami-sama! (TV),TV,Manga,"['Bandai Visual', 'TBS']","['Comedy', 'Supernatural', 'Magic', 'Romance', 'Seinen']",['AIC'],24.0,False,24 min per ep,PG-13 - Teens 13 or older,7.42,59169.0,1949.0,824.0,117198.0,1035.0
Tenshi Kinryouku,OVA,Manga,"['Bandai Visual', 'AIC', 'Lantis', 'Audio Tanaka']","['Action', 'Drama', 'Romance', 'Shoujo', 'Supernatural']",['Hal Film Maker'],3.0,False,30 min per ep,R+ - Mild Nudity,6.4,23620.0,6216.0,1933.0,40458.0,202.0
Ai Yori Aoshi,TV,Manga,"['Movic', 'Fuji TV', 'Pioneer LDC', 'Cosmic Ray']","['Harem', 'Slice of Life', 'Comedy', 'Drama', 'Romance']",['J.C.Staff'],24.0,False,23 min per ep,PG-13 - Teens 13 or older,7.2,40592.0,2844.0,1139.0,81572.0,415.0
Appleseed (Movie),Movie,Manga,"['Mainichi Broadcasting System', 'Toho', 'TYO Animations', 'TYO']","['Action', 'Military', 'Sci-Fi', 'Police', 'Drama', 'Mecha', 'Shounen']",['Digital Frontier'],1.0,False,1 hr 45 min,R - 17+ (violence & profanity),7.18,34723.0,2935.0,1517.0,57811.0,158.0
Arc the Lad,TV,Game,"['Sony Pictures Entertainment', 'Aniplex']","['Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi']",['Bee Train'],26.0,False,22 min per ep,R - 17+ (violence & profanity),6.59,4474.0,5373.0,3623.0,12444.0,16.0
Avenger,TV,Original,['Production I.G'],"['Adventure', 'Fantasy', 'Sci-Fi', 'Shounen']","['Bee Train', 'Xebec']",13.0,False,24 min per ep,R - 17+ (violence & profanity),5.96,5451.0,7805.0,3427.0,14237.0,19.0
Beck,TV,Manga,"['Marvelous', 'Starchild Records', 'Asatsu DK', 'Kodansha']","['Comedy', 'Drama', 'Music', 'Shounen', 'Slice of Life']",['Madhouse'],26.0,False,25 min per ep,R - 17+ (violence & profanity),8.36,91614.0,197.0,448.0,198237.0,6022.0
Blue Gender,TV,Original,"['Youmex', 'Toshiba EMI']","['Adventure', 'Romance', 'Mecha', 'Military', 'Sci-Fi', 'Horror', 'Space', 'Drama']",['AIC'],26.0,False,23 min per ep,R+ - Mild Nudity,7.11,21542.0,3232.0,1586.0,54058.0,360.0
Chobits,TV,Manga,"['TBS', 'Pioneer LDC']","['Sci-Fi', 'Comedy', 'Drama', 'Romance', 'Ecchi', 'Seinen']",['Madhouse'],26.0,False,24 min per ep,PG-13 - Teens 13 or older,7.51,182381.0,1629.0,211.0,334276.0,3418.0
Chrno Crusade,TV,Manga,"['Lantis', 'Kadokawa Shoten', 'Fuji TV']","['Action', 'Demons', 'Historical', 'Romance', 'Shounen', 'Supernatural']",['Gonzo'],24.0,False,23 min per ep,R - 17+ (violence & profanity),7.75,81366.0,985.0,530.0,172946.0,1946.0
D.N.Angel,TV,Manga,['Kadokawa Shoten'],"['Action', 'Comedy', 'Magic', 'Romance', 'Fantasy', 'School', 'Shoujo']",['Xebec'],26.0,False,23 min per ep,PG-13 - Teens 13 or older,7.3,78088.0,2456.0,637.0,148256.0,1448.0
D.C.: Da Capo,TV,Visual novel,"['Lantis', 'King Records']","['Harem', 'Drama', 'Magic', 'Romance']","['feel.', 'Zexcs']",26.0,False,24 min per ep,PG-13 - Teens 13 or older,6.86,24731.0,4164.0,1485.0,59502.0,183.0
DearS,TV,Manga,"['Bandai Visual', 'Hal Film Maker', 'Genco', 'Lantis']","['Sci-Fi', 'Harem', 'Comedy', 'Romance', 'Ecchi', 'Shounen']",['Daume'],12.0,False,23 min per ep,R+ - Mild Nudity,6.73,61303.0,4750.0,882.0,110662.0,362.0
Rozen Maiden,TV,Manga,"['Mellow Head', 'Pony Canyon', 'TBS', 'Memory-Tech', 'Studio Jack']","['Action', 'Comedy', 'Drama', 'Magic', 'Seinen']",['Nomad'],12.0,False,24 min per ep,PG-13 - Teens 13 or older,7.52,76580.0,1617.0,610.0,154546.0,1929.0
Rozen Maiden: Träumend,TV,Manga,"['Mellow Head', 'TBS']","['Action', 'Comedy', 'Drama', 'Magic', 'Seinen']",['Nomad'],12.0,False,24 min per ep,PG-13 - Teens 13 or older,7.73,48438.0,1053.0,1104.0,84149.0,481.0
Basilisk: Kouga Ninpou Chou,TV,Manga,"['GDH', 'Kodansha', 'Sotsu Music Publishing']","['Action', 'Adventure', 'Historical', 'Supernatural', 'Romance', 'Samurai', 'Fantasy']",['Gonzo'],24.0,False,24 min per ep,R - 17+ (violence & profanity),7.64,57199.0,1249.0,722.0,132611.0,1345.0
Cluster Edge,TV,Original,['Bandai Visual'],"['Action', 'Fantasy', 'Military', 'Sci-Fi']",['Sunrise'],25.0,False,24 min per ep,PG-13 - Teens 13 or older,6.44,2241.0,6013.0,4332.0,8136.0,13.0
Full Metal Panic!,TV,Light novel,['Kadokawa Shoten'],"['Action', 'Military', 'Sci-Fi', 'Comedy', 'Mecha']",['Gonzo'],24.0,False,24 min per ep,R - 17+ (violence & profanity),7.74,177049.0,1013.0,203.0,340901.0,4032.0
Full Metal Panic? Fumoffu,TV,Light novel,"['Tatsunoko Production', 'Kadokawa Shoten', 'Fuji TV', 'Imagica', 'Rakuonsha', 'Kadokawa Pictures Japan', 'KlockWorx', 'Happinet Pictures', 'Animation Do']","['Action', 'Comedy', 'School']",['Kyoto Animation'],12.0,False,24 min per ep,PG-13 - Teens 13 or older,8.14,133639.0,385.0,399.0,215819.0,2743.0
Full Metal Panic! The Second Raid,TV,Light novel,"['Kadokawa Shoten', 'Happinet Pictures']","['Action', 'Military', 'Mecha']",['Kyoto Animation'],13.0,False,24 min per ep,R - 17+ (violence & profanity),8.02,115427.0,536.0,456.0,195923.0,1287.0
Soukyuu no Fafner: Dead Aggressor,TV,Original,['TV Tokyo Music'],"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi']",['Xebec'],25.0,False,24 min per ep,PG-13 - Teens 13 or older,7.35,10912.0,2286.0,2124.0,34454.0,232.0
Mahou Shoujo Lyrical Nanoha,TV,Original,"['Starchild Records', 'Omnibus Japan']","['Action', 'Comedy', 'Drama', 'Magic', 'Super Power']",['Seven Arcs'],13.0,False,25 min per ep,PG-13 - Teens 13 or older,7.48,32683.0,1741.0,1209.0,77124.0,967.0
Mahou Shoujo Lyrical Nanoha A's,TV,Original,"['Starchild Records', 'Omnibus Japan']","['Action', 'Comedy', 'Drama', 'Magic', 'Super Power']",['Seven Arcs'],13.0,False,25 min per ep,PG-13 - Teens 13 or older,8.05,26706.0,499.0,1672.0,49952.0,952.0
Shuffle!,TV,Visual novel,"['Lantis', 'Memory-Tech']","['Comedy', 'Drama', 'Ecchi', 'Fantasy', 'Harem', 'Magic', 'Romance', 'School', 'Seinen']","['Xebec', 'Asread']",24.0,False,23 min per ep,R+ - Mild Nudity,7.21,101261.0,2835.0,433.0,202630.0,1503.0
Mobile Suit Gundam,TV,Original,"['Sotsu', 'Nagoya Broadcasting Network']","['Action', 'Military', 'Sci-Fi', 'Space', 'Mecha']",['Sunrise'],43.0,False,25 min per ep,PG-13 - Teens 13 or older,7.85,31375.0,804.0,1270.0,72598.0,1438.0
Mobile Suit Gundam: The 08th MS Team,OVA,Original,['Atelier Musa'],"['Military', 'Sci-Fi', 'Adventure', 'Drama', 'Romance', 'Mecha']",['Sunrise'],12.0,False,24 min per ep,PG-13 - Teens 13 or older,8.09,26728.0,458.0,1715.0,48063.0,752.0
Mobile Suit Gundam 0080: War in the Pocket,OVA,Original,['Bandai Visual'],"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",['Sunrise'],6.0,False,27 min per ep,PG-13 - Teens 13 or older,7.88,17659.0,742.0,2208.0,32457.0,507.0
Mobile Suit Gundam: The 08th MS Team - Miller's Report,Movie,Original,"['Sotsu', 'Atelier Musa']","['Military', 'Sci-Fi', 'Drama', 'Romance', 'Mecha']",['Sunrise'],1.0,False,52 min,PG-13 - Teens 13 or older,6.9,5015.0,4029.0,3999.0,9829.0,3.0
Mobile Suit Gundam 0083: Stardust Memory,OVA,Original,['Bandai Visual'],"['Military', 'Sci-Fi', 'Adventure', 'Space', 'Drama', 'Romance', 'Mecha']",['Sunrise'],13.0,False,30 min per ep,PG-13 - Teens 13 or older,7.4,15167.0,2064.0,2448.0,26920.0,192.0
Mobile Suit Zeta Gundam,TV,Original,"['Sotsu', 'Nagoya Broadcasting Network']","['Military', 'Sci-Fi', 'Space', 'Drama', 'Romance', 'Mecha']",['Sunrise'],50.0,False,24 min per ep,PG-13 - Teens 13 or older,7.99,20063.0,586.0,1923.0,40759.0,1292.0
Mobile Suit Gundam ZZ,TV,Original,"['Sotsu', 'Nagoya Broadcasting Network']","['Space', 'Comedy', 'Mecha', 'Military', 'Drama', 'Sci-Fi']",['Sunrise'],47.0,False,24 min per ep,PG-13 - Teens 13 or older,6.73,11017.0,4768.0,2642.0,23757.0,80.0
Mobile Suit Gundam: Char's Counterattack,Movie,Novel,"['Sotsu', 'Nozomi Entertainment', 'Atelier Musa']","['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']","['Sunrise', 'Studio Hibari']",1.0,False,1 hr 59 min,PG-13 - Teens 13 or older,7.74,15090.0,1019.0,2491.0,26241.0,205.0
Mobile Suit Gundam F91,Movie,Unknown,"['Sotsu', 'Shochiku', 'Atelier Musa', 'Nagoya Broadcasting Network']","['Drama', 'Mecha', 'Military', 'Sci-Fi', 'Space']",['Sunrise'],1.0,False,2 hr,PG-13 - Teens 13 or older,6.78,9833.0,4521.0,3050.0,18010.0,40.0
Mobile Suit Victory Gundam,TV,Original,"['TV Asahi', 'Sotsu', 'Apollon']","['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']","['Sunrise', 'Studio Deen']",51.0,False,24 min per ep,PG-13 - Teens 13 or older,6.85,6156.0,4214.0,3167.0,16608.0,82.0
Mobile Suit Gundam Wing,TV,Original,['TV Asahi'],"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",['Sunrise'],49.0,False,24 min per ep,PG-13 - Teens 13 or older,7.82,62406.0,867.0,909.0,108562.0,2278.0
Mobile Suit Gundam Wing: Endless Waltz,OVA,Original,"['Bandai Visual', 'Sotsu']","['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Space']",['Sunrise'],3.0,False,30 min per ep,PG-13 - Teens 13 or older,7.85,20559.0,805.0,2118.0,34585.0,194.0
After War Gundam X,TV,Original,"['TV Asahi', 'Sotsu']","['Sci-Fi', 'Adventure', 'Space', 'Drama', 'Mecha']",['Sunrise'],39.0,False,24 min per ep,PG-13 - Teens 13 or older,7.36,10345.0,2219.0,2637.0,23787.0,164.0
Mobile Suit Gundam SEED Destiny,TV,Original,"['Sotsu', 'Mainichi Broadcasting System', 'Sony Music Entertainment']","['Action', 'Space', 'Mecha', 'Romance', 'Military', 'Drama', 'Sci-Fi']",['Sunrise'],50.0,False,24 min per ep,R - 17+ (violence & profanity),7.3,47750.0,2479.0,1191.0,78312.0,1133.0
Turn A Gundam,TV,Original,"['Sotsu', 'Fuji TV']","['Action', 'Military', 'Sci-Fi', 'Adventure', 'Space', 'Drama', 'Romance', 'Mecha']","['Sunrise', 'Nakamura Production']",50.0,False,24 min per ep,PG-13 - Teens 13 or older,7.73,9204.0,1058.0,2420.0,27476.0,547.0
Mobile Fighter G Gundam,TV,Original,"['TV Asahi', 'Sotsu']","['Sci-Fi', 'Adventure', 'Space', 'Comedy', 'Sports', 'Drama', 'Romance', 'Martial Arts', 'Mecha']",['Sunrise'],49.0,False,24 min per ep,PG-13 - Teens 13 or older,7.6,25027.0,1367.0,1778.0,45765.0,757.0
Last Exile,TV,Original,"['GDH', 'Victor Entertainment', 'TV Tokyo Music']","['Action', 'Sci-Fi', 'Adventure']",['Gonzo'],26.0,False,24 min per ep,PG-13 - Teens 13 or older,7.89,55389.0,722.0,743.0,129036.0,1709.0
Mai-HiME,TV,Original,"['Bandai Visual', 'TV Tokyo Music', 'Studio Zain']","['Action', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Mecha', 'Romance', 'School', 'Shoujo Ai']",['Sunrise'],26.0,False,23 min per ep,PG-13 - Teens 13 or older,7.53,42321.0,1580.0,1050.0,89769.0,1216.0
Mai-Otome,TV,Original,"['Bandai Visual', 'Lantis', 'TV Tokyo Music']","['Comedy', 'Drama', 'Fantasy', 'Magic']",['Sunrise'],26.0,False,24 min per ep,PG-13 - Teens 13 or older,7.36,21354.0,2242.0,1904.0,41658.0,322.0
Air,TV,Visual novel,"['Pony Canyon', 'TBS', 'Movic']","['Slice of Life', 'Supernatural', 'Drama', 'Romance']",['Kyoto Animation'],12.0,False,24 min per ep,PG-13 - Teens 13 or older,7.41,120702.0,1994.0,381.0,224570.0,2584.0
Aishiteruze Baby★★,TV,Manga,"['Animax', 'Toei Video', 'Sunny Side Up']","['Comedy', 'Drama', 'Romance', 'Shoujo']",['TMS Entertainment'],26.0,False,25 min per ep,PG-13 - Teens 13 or older,7.54,40784.0,1541.0,1202.0,77444.0,518.0
Akazukin Chacha,TV,Manga,"['Nihon Ad Systems', 'Shueisha']","['Adventure', 'Comedy', 'Fantasy', 'Magic', 'Romance', 'Shoujo']",['Studio Gallop'],74.0,False,24 min per ep,G - All Ages,7.46,3269.0,1797.0,4019.0,9766.0,75.0
Ayashi no Ceres,TV,Manga,['Bandai Visual'],"['Adventure', 'Comedy', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Romance', 'Shoujo']",['Studio Pierrot'],24.0,False,21 min per ep,R - 17+ (violence & profanity),7.33,21170.0,2335.0,1775.0,45839.0,501.0
Boys Be...,TV,Manga,['Audio Tanaka'],"['Slice of Life', 'Comedy', 'Romance', 'Shounen']",['Hal Film Maker'],13.0,False,23 min per ep,PG-13 - Teens 13 or older,6.52,7160.0,5690.0,3087.0,17520.0,41.0
Hana yori Dango,TV,Manga,[],"['Drama', 'Romance', 'School', 'Shoujo']",['Toei Animation'],51.0,False,25 min per ep,PG-13 - Teens 13 or older,7.84,15258.0,819.0,2031.0,37364.0,646.0
Ou Dorobou Jing,TV,Manga,['Aniplex'],"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi', 'Shounen']",['Studio Deen'],13.0,False,24 min per ep,PG-13 - Teens 13 or older,7.31,11279.0,2441.0,2375.0,28628.0,196.0
Ou Dorobou Jing in Seventh Heaven,OVA,Unknown,['Aniplex'],"['Adventure', 'Fantasy', 'Psychological', 'Comedy', 'Shounen']",['Studio Deen'],3.0,False,30 min per ep,PG-13 - Teens 13 or older,7.37,4665.0,2201.0,3930.0,10261.0,25.0
Bakuretsu Tenshi,TV,Original,"['GDH', 'TV Asahi', 'Imagica']","['Adventure', 'Comedy', 'Mecha', 'Sci-Fi']",['Gonzo'],24.0,False,23 min per ep,PG-13 - Teens 13 or older,6.89,24602.0,4047.0,1542.0,55927.0,251.0
Chuuka Ichiban!,TV,Manga,[],"['Action', 'Comedy', 'Drama', 'Shounen']",['Nippon Animation'],52.0,False,23 min per ep,PG-13 - Teens 13 or older,7.7,4991.0,1106.0,3763.0,11287.0,90.0
Chou Henshin Cosprayers,TV,Original,['m.o.e.'],"['Action', 'Ecchi', 'Adventure', 'Fantasy', 'Magic', 'Comedy', 'Super Power', 'Sci-Fi']","['Imagin', 'Studio Live']",8.0,False,14 min per ep,PG-13 - Teens 13 or older,5.03,2339.0,9690.0,4749.0,6475.0,5.0
Uchuu no Stellvia,TV,Original,"['Starchild Records', 'TV Tokyo Music']","['Action', 'Mecha', 'Romance', 'Sci-Fi', 'Space']",['Xebec'],26.0,False,23 min per ep,PG-13 - Teens 13 or older,7.44,7477.0,1895.0,3017.0,18413.0,114.0
Sakigake!! Cromartie Koukou,TV,Manga,['TV Tokyo Music'],"['Comedy', 'School', 'Shounen']",['Production I.G'],26.0,False,12 min per ep,PG-13 - Teens 13 or older,7.99,36280.0,587.0,1039.0,91122.0,1372.0
El Hazard: The Alternative World,TV,Original,['Pioneer LDC'],"['Adventure', 'Comedy', 'Fantasy']",['AIC'],13.0,False,25 min per ep,PG-13 - Teens 13 or older,6.9,3851.0,4011.0,4253.0,8442.0,9.0
El Hazard: The Wanderers,TV,Original,"['TV Tokyo', 'Geneon Universal Entertainment', 'SoftX', 'Pioneer LDC', 'TV Tokyo Music', 'Atelier Musa']","['Adventure', 'Comedy', 'Romance', 'Fantasy']",['AIC'],26.0,False,23 min per ep,PG-13 - Teens 13 or older,7.04,5131.0,3509.0,3674.0,11996.0,33.0
El Hazard: The Magnificent World,OVA,Original,['Pioneer LDC'],"['Adventure', 'Comedy', 'Fantasy', 'Romance']",['AIC'],7.0,False,34 min per ep,PG-13 - Teens 13 or older,7.39,5695.0,2090.0,3589.0,12749.0,82.0
El Hazard 2: The Magnificent World,OVA,Original,['Pioneer LDC'],"['Adventure', 'Comedy', 'Fantasy']",['AIC'],4.0,False,30 min per ep,PG-13 - Teens 13 or older,6.94,3348.0,3863.0,4655.0,6770.0,5.0
Final Approach,TV,Visual novel,['Trinet Entertainment'],"['Comedy', 'Drama', 'Romance', 'Slice of Life']",['Zexcs'],13.0,False,14 min per ep,PG-13 - Teens 13 or older,6.63,14922.0,5212.0,2362.0,28858.0,45.0
Fruits Basket,TV,Manga,"['TV Tokyo', 'Nihon Ad Systems', 'King Records']","['Slice of Life', 'Comedy', 'Drama', 'Romance', 'Fantasy', 'Shoujo']",['Studio Deen'],26.0,False,24 min per ep,PG-13 - Teens 13 or older,7.77,175617.0,951.0,244.0,310675.0,7892.0
Fullmetal Alchemist,TV,Manga,"['Aniplex', 'Dentsu', 'Square Enix', 'Mainichi Broadcasting System']","['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Military', 'Shounen']",['Bones'],51.0,False,24 min per ep,PG-13 - Teens 13 or older,8.28,524986.0,268.0,27.0,854022.0,22764.0
Full Moon wo Sagashite,TV,Manga,['Nihon Ad Systems'],"['Music', 'Comedy', 'Supernatural', 'Drama', 'Romance', 'Shoujo']",['Studio Deen'],52.0,False,24 min per ep,PG-13 - Teens 13 or older,8.04,32470.0,508.0,1241.0,74904.0,1628.0
Fushigi Yuugi,TV,Manga,"['TV Tokyo', 'Shogakukan Productions', 'Yomiko Advertising', 'Apollon']","['Adventure', 'Fantasy', 'Magic', 'Martial Arts', 'Comedy', 'Romance', 'Historical', 'Drama', 'Shoujo']",['Studio Pierrot'],52.0,False,23 min per ep,PG-13 - Teens 13 or older,7.75,35246.0,989.0,1197.0,77831.0,2027.0
Fushigi Yuugi: Eikouden,OVA,Manga,[],"['Adventure', 'Fantasy', 'Romance', 'Drama', 'Shoujo']",['Studio Pierrot'],4.0,False,30 min per ep,PG-13 - Teens 13 or older,6.96,7196.0,3799.0,3495.0,13562.0,65.0
Futakoi,TV,Original,['Lantis'],"['Comedy', 'Romance', 'School']",['Telecom Animation Film'],13.0,False,24 min per ep,PG-13 - Teens 13 or older,6.57,13132.0,5480.0,2389.0,28139.0,19.0
Futakoi Alternative,TV,Original,['Lantis'],"['Comedy', 'Drama', 'Romance']","['ufotable', 'feel.', 'Studio Flag']",13.0,False,24 min per ep,PG-13 - Teens 13 or older,6.98,9636.0,3729.0,2520.0,25668.0,64.0
Gate Keepers,TV,Game,['Media Factory'],"['Action', 'Comedy', 'Fantasy', 'Mecha', 'Sci-Fi', 'Shounen']",['Gonzo'],24.0,False,25 min per ep,PG-13 - Teens 13 or older,7.04,7175.0,3511.0,3125.0,17132.0,55.0
