name,type,source,producers,genre,studio,episodes,airing,duration,rating,score,scored_by,rank,popularity,members,favorites
Wagamama☆Fairy Mirumo de Pon!,TV,Manga,['Trinity Sound'],"['Kids', 'Adventure', 'Fantasy', 'Magic', 'Comedy', 'Romance', 'School', 'Drama', 'Shoujo']",['Studio Hibari'],172.0,False,21 min per ep,G - All Ages,7.41,4549.0,2039.0,3707.0,11697.0,113.0
Wild 7 Another Bouryaku Unga,TV,Manga,['E&G Films'],"['Action', 'Adventure', 'Police', 'Shounen']",[],13.0,False,22 min per ep,R+ - Mild Nudity,5.41,127.0,9122.0,10014.0,542.0,1.0
Zoids Fuzors,TV,Unknown,['Tokyo Kids'],"['Adventure', 'Mecha', 'Sci-Fi', 'Shounen']",[],26.0,False,25 min per ep,PG-13 - Teens 13 or older,6.53,3763.0,5687.0,4234.0,8556.0,15.0
Freedom,OVA,Original,"['Bandai Visual', 'Dentsu']","['Action', 'Sci-Fi', 'Adventure', 'Space']",['Sunrise'],7.0,False,27 min per ep,PG-13 - Teens 13 or older,7.53,6122.0,1573.0,3103.0,17374.0,59.0
Piyoko ni Omakase pyo!,OVA,Unknown,['Broccoli'],"['Comedy', 'Sci-Fi', 'Shounen']",['Madhouse'],8.0,False,15 min per ep,PG-13 - Teens 13 or older,6.75,651.0,4680.0,7583.0,1808.0,5.0
Amaenaide yo!!: Yasumanaide yo!!,Special,Unknown,[],"['Ecchi', 'Comedy', 'Romance', 'Supernatural']",['Studio Deen'],1.0,False,23 min,R+ - Mild Nudity,6.76,6514.0,4596.0,3670.0,12055.0,1.0
Amaenaide yo!! Katsu!!: Damasarenaide yo!!,Special,Unknown,[],"['Ecchi', 'Comedy', 'Romance', 'Supernatural']",['Studio Deen'],1.0,False,23 min,R+ - Mild Nudity,6.71,5632.0,4832.0,3787.0,11096.0,7.0
Jikuu Bouken Nuumamonjaa,OVA,Unknown,['Yomiuri Advertising'],"['Action', 'Comedy', 'Fantasy']",['Production I.G'],1.0,False,16 min,PG-13 - Teens 13 or older,5.32,3404.0,9258.0,4978.0,5762.0,6.0
Di Gi Charat: Hoshi no Tabi,Movie,Unknown,[],['Comedy'],['Madhouse'],1.0,False,21 min,PG-13 - Teens 13 or older,6.7,1006.0,4874.0,6965.0,2376.0,2.0
Di Gi Charat: Kuchi Kara Bazooka,Special,Unknown,[],['Comedy'],['Madhouse'],1.0,False,13 min,PG-13 - Teens 13 or older,6.39,612.0,6230.0,7971.0,1492.0,1.0
Di Gi Charat Summer Special 2000,Special,Unknown,['TBS'],['Comedy'],['Madhouse'],4.0,False,11 min per ep,G - All Ages,6.59,929.0,5381.0,7305.0,2041.0,1.0
Di Gi Charat Ohanami Special,Special,Unknown,['TBS'],['Comedy'],[],4.0,False,10 min per ep,G - All Ages,6.77,823.0,4543.0,7494.0,1879.0,1.0
Di Gi Charat Natsuyasumi Special,Special,Unknown,['TBS'],['Comedy'],[],4.0,False,11 min per ep,G - All Ages,6.73,835.0,4751.0,7435.0,1927.0,2.0
Di Gi Charat Christmas Special,Special,Unknown,['TBS'],['Comedy'],['Madhouse'],1.0,False,23 min,G - All Ages,6.71,1192.0,4835.0,6931.0,2409.0,2.0
Di Gi Charat Tsuyu Specials,Special,Unknown,[],['Comedy'],['Madhouse'],2.0,False,12 min per ep,G - All Ages,6.67,373.0,5004.0,8426.0,1223.0,1.0
Jigen Sengokushi: Kuro no Shishi - Jinnai-hen,OVA,Unknown,"['Nippon Columbia', 'Dynamic Planning']","['Action', 'Adventure', 'Historical', 'Sci-Fi', 'Shounen']",[],1.0,False,42 min,R - 17+ (violence & profanity),5.64,1246.0,8635.0,6783.0,2594.0,2.0
Golgo 13,Movie,Manga,[],"['Action', 'Military', 'Adventure', 'Drama', 'Seinen']","['Tokyo Movie Shinsha', 'Filmlink International']",1.0,False,1 hr 30 min,R+ - Mild Nudity,6.85,4302.0,4203.0,4077.0,9384.0,27.0
